Feature,Importance
num__F1611,0.00018231163
num__F1042,0.00018230133
num__F3820,0.0001813947
num__F1741,0.00018028048
num__F1717,0.00018013049
num__F3751,0.00018001739
num__F126,0.000179998
num__F2298,0.00017927497
num__F3869,0.0001789739
num__F1800,0.00017633129
num__F3661,0.0001761846
num__F120,0.0001731395
num__F3630,0.00017301792
num__F2183,0.00017220473
num__F2889,0.00017143153
num__F2685,0.00016676441
num__F1609,0.00016597293
cat__F3890_R,0.00016589255
num__F1827,0.00016588975
num__F2182,0.00016483644
num__F3059,0.00016462871
num__F1801,0.00016401031
num__F1728,0.00016290312
num__F3921,0.00016219697
num__F2586,0.00016202404
num__F3646,0.00016192597
num__F3723,0.00016136194
num__F2894,0.00016053622
num__F2544,0.00015911664
num__F3718,0.00015812645
num__F567,0.00015748733
num__F17,0.00015740523
num__F2478,0.00015463802
num__F2549,0.00015390484
num__F428,0.00015341969
num__F2725,0.00015125041
num__F3865,0.0001499126
num__F358,0.00014657906
num__F3474,0.00014609704
num__F2203,0.00014580686
num__F470,0.00014462585
num__F1252,0.00014212453
num__F733,0.00014193974
num__F1846,0.00014132605
num__F2690,0.00013895317
num__F2068,0.00013759341
num__F3700,0.00013700245
num__F1135,0.00013667025
num__F2784,0.00013653556
num__F419,0.00013629555
num__F1537,0.0001346784
num__F3810,0.00013467018
num__F3754,0.00013466476
num__F1314,0.00013392368
num__F1185,0.000133293
num__F2536,0.0001306786
num__F465,0.00013038803
num__F2841,0.00012986842
num__F3793,0.00012902691
num__F2289,0.00012844377
num__F469,0.0001273821
num__F2251,0.00012719756
num__F3144,0.0001270053
num__F1585,0.0001270043
num__F1384,0.00012630234
num__F3824,0.00012547366
num__F322,0.00012302311
num__F1180,0.000119508826
num__F1975,0.000118865406
num__F1495,0.00011880694
num__F1642,0.00011839091
num__F2686,0.000118208314
num__F1934,0.000117880765
num__F2107,0.00011781419
num__F2950,0.00011667943
num__F1968,0.0001161999
num__F1209,0.00011445
num__F1064,0.00011413958
num__F1194,0.00011374051
num__F2350,0.000113542184
num__F157,0.00011321
num__F2649,0.00011299646
num__F568,0.00011195361
num__F2896,0.000111710855
num__F3107,0.000110913206
num__F566,0.00010985929
num__F2744,0.00010966492
num__F3532,0.00010962342
num__F2899,0.000109244516
num__F3794,0.00010720623
num__F2386,0.000106561754
num__F2030,0.00010637931
num__F1276,0.0001061128
num__F3903,0.00010498188
num__F2891,0.000104521816
num__F2356,0.000104383646
num__F14,0.00010360067
num__F3056,0.00010352325
num__F838,0.00010328031
num__F1206,0.00010313316
num__F3099,0.00010312147
num__F3705,0.00010187342
num__F3707,0.00010179256
num__F3823,0.00010043496
num__F3706,9.979292e-05
num__F3650,9.929956e-05
num__F1220,9.926728e-05
num__F1596,9.906424e-05
num__F2339,9.707106e-05
num__F1636,9.589834e-05
num__F2683,9.5865726e-05
num__F1182,9.527858e-05
num__F2395,9.4044575e-05
num__F1316,9.3871975e-05
num__F2537,9.368124e-05
num__F1809,9.337424e-05
num__F3842,9.278469e-05
num__F1504,9.199466e-05
num__F2440,9.1927075e-05
num__F64,9.162949e-05
num__F2493,9.063484e-05
num__F2884,9.049525e-05
num__F155,9.028354e-05
num__F364,9.02039e-05
num__F1004,8.985247e-05
num__F781,8.9537774e-05
num__F2585,8.9533365e-05
num__F1244,8.9519795e-05
num__F154,8.893213e-05
num__F323,8.7580454e-05
num__F3602,8.7498345e-05
num__F841,8.637745e-05
num__F219,8.446518e-05
num__F2738,8.344432e-05
num__F2582,8.2851526e-05
num__F2587,8.249109e-05
num__F256,8.243058e-05
num__F2039,8.222489e-05
num__F3490,8.216076e-05
num__F3531,8.211143e-05
num__F3606,8.2043174e-05
num__F1492,8.190202e-05
num__F1926,8.15848e-05
num__F266,8.1315324e-05
num__F2485,8.04397e-05
num__F2735,8.042496e-05
num__F2494,8.022958e-05
num__F3644,7.975871e-05
num__F69,7.852558e-05
num__F1959,7.842981e-05
num__F2637,7.831875e-05
num__F1747,7.787138e-05
num__F1685,7.777127e-05
num__F1149,7.744273e-05
num__F2137,7.69852e-05
num__F3831,7.6942415e-05
num__F476,7.667266e-05
num__F2682,7.6661614e-05
num__F3802,7.629696e-05
num__F2140,7.6228695e-05
num__F2234,7.5357755e-05
num__F3608,7.511323e-05
num__F3827,7.4998454e-05
num__F847,7.441521e-05
num__F955,7.3980256e-05
num__F158,7.389156e-05
num__F3433,7.315428e-05
num__F1603,7.258169e-05
num__F1868,7.232199e-05
num__F3881,7.164824e-05
num__F2481,7.159186e-05
num__F2340,7.15711e-05
num__F2787,7.151788e-05
num__F274,7.138557e-05
num__F1255,7.116953e-05
num__F365,7.078446e-05
num__F1939,6.988851e-05
num__F3887,6.9738606e-05
num__F526,6.961388e-05
num__F3818,6.950543e-05
num__F265,6.947118e-05
num__F3808,6.831066e-05
num__F2895,6.826528e-05
num__F1984,6.758641e-05
num__F3104,6.744795e-05
num__F464,6.728084e-05
num__F2647,6.60655e-05
num__F275,6.6041874e-05
num__F1987,6.598071e-05
num__F3741,6.593046e-05
num__F1989,6.569887e-05
num__F2383,6.5597655e-05
num__F1703,6.5233915e-05
num__F3218,6.5207685e-05
num__F1825,6.423193e-05
num__F2639,6.402937e-05
num__F3057,6.402008e-05
num__F467,6.397864e-05
num__F3494,6.3615465e-05
num__F3757,6.358921e-05
num__F2394,6.325728e-05
num__F2076,6.1702696e-05
num__F853,6.157029e-05
num__F1273,6.088793e-05
num__F3604,6.0544106e-05
num__F2740,6.008629e-05
num__F2389,6.0036164e-05
num__F1219,5.9871967e-05
num__F2155,5.9371632e-05
num__F1382,5.884247e-05
num__F2844,5.8388992e-05
num__F992,5.820597e-05
num__F1745,5.789557e-05
num__F2782,5.72825e-05
num__F997,5.6860266e-05
num__F2078,5.6836052e-05
num__F3841,5.6325865e-05
num__F1115,5.611581e-05
num__F3721,5.548884e-05
num__F1931,5.5195364e-05
num__F2591,5.4660108e-05
num__F2118,5.438747e-05
num__F1473,5.3868192e-05
num__F2252,5.3731612e-05
num__F142,5.3710122e-05
num__F1962,5.3424643e-05
num__F429,5.2938074e-05
num__F2679,5.2853626e-05
num__F2999,5.2790376e-05
num__F2121,5.2181007e-05
num__F457,5.21435e-05
num__F2789,5.2060666e-05
num__F3692,5.1492574e-05
num__F111,5.120757e-05
num__F2488,5.0578576e-05
num__F410,5.0327446e-05
num__F3496,4.947508e-05
num__F100,4.919236e-05
num__F2175,4.8759906e-05
num__F2959,4.8667996e-05
num__F2993,4.8520276e-05
num__F2349,4.8345457e-05
num__F1649,4.8101487e-05
num__F2646,4.7848007e-05
num__F1695,4.784042e-05
num__F116,4.7580164e-05
